Task,Milestone,Effort (hrs),Dependencies,Target Date,Related Features,Definition of Done
1.1 Confirm architecture decisions,M1 Foundation,2,-,2026-09-29,infra,"Architecture decisions accepted or revised and recorded; nothing blocking setup left undecided"
1.2 Repo structure,M1 Foundation,2,1.1,2026-09-29,infra,"Repo pushed with ios/backend/admin-web/docs folders; plan committed under docs/project-plan/"
1.3 Apple Developer Program enrollment,M1 Foundation,1,-,2026-09-30,infra,"Account approved; Team ID available for Xcode signing"
1.4 React Native project scaffold (iOS target),M1 Foundation,4,1.3,2026-10-02,infra,"Blank RN app builds and runs on iOS simulator via Xcode/CocoaPods; dev workflow confirmed"
1.5 Supabase project + schema + RLS,M1 Foundation,5,1.1,2026-10-06,all,"Core tables exist with RLS policies verified across patient/therapist roles"
1.6 Flask skeleton deployed,M1 Foundation,4,1.5,2026-10-09,infra,"/health endpoint returns 200 from public URL; connects to Supabase; app-factory structure in place"
1.7 Auth end-to-end,M1 Foundation,6,"1.4,1.6",2026-10-13,"F01,F02","Patient signs in on iPhone to empty dashboard; admin signs in on web to empty roster"
1.8 Admin web portal scaffold deployed,M1 Foundation,4,1.1,2026-10-13,infra,"Admin portal live at a URL, shows sign-in screen"
1.9 APNs push certificate + test send,M1 Foundation,2,1.3,2026-10-16,F06,"Manually triggered test push received on device"
1.10 Milestone review / buffer,M1 Foundation,2,all above,2026-10-16,-,"All M1 items checked off or explicitly rescheduled"
2.1 Home Dashboard UI,M2 Patient Experience,5,1.7,2026-10-23,F03,"Dashboard renders real seeded data; correct empty state with no program assigned"
2.2 Scheduled delivery logic,M2 Patient Experience,4,"1.5,1.6",2026-10-25,F04,"API returns correct exercise list for patient/day across 3 test schedules"
2.3 Exercise player shell,M2 Patient Experience,5,2.1,2026-10-28,F05,"Pre-exercise screen shows demo/reps/tip and transitions into a session"
2.4 Sensor capture via RN bridge,M2 Patient Experience,9,2.3,2026-11-03,F05,"Sensor library evaluated on real device (fallback: custom native module); accel/gyro captured at target rate; pause/resume works"
2.5 Rep counting & ROM algorithm,M2 Patient Experience,10,2.4,2026-11-08,F05,"Rep count accurate within +/-1 across 5 runs for 2-3 exercise types; ROM computed per rep"
2.6 Live form feedback + session summary,M2 Patient Experience,5,2.5,2026-11-10,F05,"Live indicator updates; summary shown and POSTed to exercise_logs"
2.7 Push reminders + streak-at-risk,M2 Patient Experience,5,"1.9,2.2",2026-11-12,F06,"Standard reminder and distinct streak-at-risk push both verified"
2.8 Streak tracking,M2 Patient Experience,3,2.6,2026-11-13,F07,"Streak increments/resets correctly; milestone badge appears"
2.9 Milestone review / integration test,M2 Patient Experience,3,all above,2026-11-13,-,"Full patient flow works end to end with no manual DB edits"
3.1 Patient Roster Dashboard,M3 Admin Portal,5,"1.7,1.8",2026-11-20,F09,"Roster lists seeded patients with correct adherence/status; empty state works"
3.2 Exercise Library + seed data,M3 Admin Portal,4,1.8,2026-11-22,F11,"10-15 seeded exercises, searchable by body area; empty search state handled"
3.3 Program assignment editor,M3 Admin Portal,8,3.2,2026-11-29,F10,"Program built/saved, zero-exercise save blocked, appears in app next scheduled day"
3.4 Patient Detail & Progress Review,M3 Admin Portal,5,3.1,2026-12-02,F12,"Detail view shows profile/program/stats/chart/sessions with empty state before sessions"
3.5 Session Data Review,M3 Admin Portal,8,"2.5,2.6,3.4",2026-12-04,F13,"Rep-by-rep chart with flagged deviations explained; clinical note persists"
3.6 Patient Progress & Adherence History,M3 Admin Portal,5,2.6,2026-12-04,F08,"Progress tab shows adherence/ROM/form trends filterable by range, from seeded sessions"
3.7 Milestone review,M3 Admin Portal,2,all above,2026-12-04,-,"Full admin loop works end to end"
4.1 Bug bash & edge cases,M4 Polish,5,M1-M3 complete,2026-12-09,all,"Edge cases from features.md spot-checked, not just happy path"
4.2 Realistic demo data,M4 Polish,2,4.1,2026-12-09,all,"3-4 demo patients with realistic varied history"
4.3 Deployment hardening,M4 Polish,3,4.1,2026-12-11,infra,"Backend and admin portal stable on real hosting; no hardcoded secrets"
4.4 Demo script & rehearsal,M4 Polish,2,"4.2,4.3",2026-12-11,-,"Written walkthrough exists and has been run through once end to end"
4.5 Contingency buffer,M4 Polish,3,-,2026-12-11,-,"Absorbs slipped work, or expands F05 exercise coverage if nothing slipped"
